#{"t_start": 1666249097.6510453, "env_id": "smb-snake-v0"}
r,l,t
7.612035,7,12.123431
23.62933,22,38.439142
112.332326,109,177.154974
267.419994,261,559.675248
21.076732,20,583.778598
18.812389,18,610.173123
39.059996,37,659.742534
10.630563,10,674.960958
300.158337,420,1121.703826
1812.962069,830,2976.952126
29.883888,28,3012.771156
124.24666,121,3148.717169
47.122897,46,3204.200591
27.922589,27,3233.583318
15.383271,14,3261.329086
28.446953,27,3297.018287
21.921415,21,3322.147475
9.387208,9,3337.006663
170.14244,165,3568.944867
245.65372,411,3968.282325
30.273366,28,4014.226003
9.78034,9,4032.908391
23.379533,21,4057.154138
7.577522,7,4071.264526
134.531736,130,4208.189322
104.329809,100,4349.83933
2540.533309,952,5592.674605
4.29096,3,5604.331402
1338.009988,630,6435.407328
71.057511,68,6504.968755
1241.895806,729,7743.820308
268.120753,411,8413.400431
26.287935,25,8460.241869
4.72769,4,8470.276148
269.261118,402,9177.393622
264.656517,421,9605.188286
16.239975,15,9631.9097
10.760549,10,9654.649251
14.568005,14,9677.539812
137.257133,134,9829.497857
121.398246,120,9944.850508
230.39521,224,10188.444843
311.601204,302,10592.119449
242.588387,233,11015.210113
105.278109,391,11702.594027
295.366662,337,12139.41899
1692.013068,737,13437.433476
209.96829,406,14084.176394
166.850483,165,14260.722005
167.953866,166,14555.32952
7.816053,7,14567.19626
16.223802,15,14589.16442
38.995493,38,14656.47487
10.940319,10,14670.66804
7.55569,7,14683.659468
119.776997,116,14803.616839
7.932048,8,14815.365515
21.317956,20,14839.408521
17.061624,16,14874.454904
12.838628,12,14901.459608
150.582376,148,15048.178148
26.662915,25,15082.5925
8.072751,7,15098.933722
8.472599,8,15111.965277
13.039369,12,15132.391925
136.632205,132,15274.634838
13.081689,13,15313.283516
8.457019,7,15328.297965
100.660431,99,15446.599608
7.267874,7,15459.341234
112.6325,109,15566.63939
8.772002,9,15587.125994
118.047097,116,15713.343481
7.720551,7,15725.541877
16.141773,15,15745.770202
12.372358,12,15776.373892
125.626334,122,15898.339661
12.34486,12,15922.255698
167.043441,165,16150.357533
11.525638,11,16179.278436
8.100653,7,16191.538436
114.646412,112,16435.284031
10.015321,10,16458.196055
332.474792,396,16824.75925
21.637406,21,16849.44215
5.974836,6,16862.013267
9.553661,9,16875.71059
171.36946,169,17038.086061
13.21826,12,17057.23334
846.500441,505,17738.539825
678.21518,495,18279.601685
56.110633,54,18362.312632
127.286565,125,18480.38481
27.377888,26,18512.070756
16.99001,16,18535.032739
225.537164,412,19185.389299
31.072025,30,19234.039655
70.158571,67,19310.142271
8.077836,7,19331.649266
18.146234,17,19361.767114
7.577059,7,19374.348076
14.92429,14,19392.065249
11.979101,11,19407.440372
11.202135,10,19426.176601
243.956636,404,20001.298691
31.631088,31,20038.892328
189.651383,183,20270.24358
280.419942,276,20586.859805
1681.718522,784,22275.886388
14.942584,14,22303.561918
25.56484,24,22332.072734
19.075195,18,22370.506431
12.270104,12,22400.578044
13.115643,12,22420.227563
9.439289,9,22436.201543
26.01278,24,22464.632307
121.97763,116,22575.842436
8.993126,8,22589.530971
11.011827,10,22628.493051
127.654787,121,22810.913903
9.697392,9,22825.058365
17.649037,17,22847.314831
29.191185,28,22886.556177
12.302374,11,22903.111316
2.632573,3,22915.720634
11.972793,11,22940.580423
28.571446,28,22973.258822
9.430257,9,22987.283798
13.473788,12,23005.696326
87.706908,83,23089.032001
128.420384,124,23212.562726
44.130665,42,23274.596437
57.954739,56,23376.158895
9.068155,9,23390.442918
5.6579,5,23401.796238
68.351536,68,23503.520152
13.257856,12,23535.531151
70.890725,69,23661.468713
110.36849,108,23767.374135
9.595912,8,23786.84267
117.876942,116,23916.653642
9.25331,9,23936.990772
13.400413,12,23960.763687
12.266967,12,23988.882517
17.90538,17,24008.99123
7.02695,7,24023.291215
4.943892,4,24031.781786
120.057434,117,24149.025304
124.673438,121,24267.273084
11.938258,11,24291.50639
24.527376,23,24320.426008
22.998572,21,24350.87788
17.609664,16,24378.540039
25.102584,24,24416.890427
62.467672,60,24480.183818
10.908546,10,24497.079437
72.483884,70,24572.3693
27.946371,26,24607.013823
29.621956,28,24649.700781
9.795032,9,24665.336233
11.967349,11,24682.750286
11.799537,11,24699.104937
29.313371,27,24733.353455
10.023257,9,24748.072753
10.008296,9,24763.316946
19.36028,18,24796.197533
10.740934,9,24814.057112
124.683407,120,24939.437847
9.650398,8,24953.473824
66.479876,63,25019.540353
2.59354,2,25026.578361
35.304431,34,25072.100971
10.524859,8,25084.230942
71.944716,69,25163.833586
15.924947,16,25186.714148
58.953117,57,25244.980441
14.473085,14,25271.772274
