#{"t_start": 1666814757.230863, "env_id": "smb-up-right-v0"}
r,l,t
1.831209,6,11.609067
5.488952,2,12.655127
1.890612,6,14.320026
4.975857,5,15.40818
7.995296,5,16.673625
2.865982,3,17.913952
116.759979,28,21.439528
13.364851,3,22.858511
15.451942,4,24.197606
5.708604,6,25.506633
11.207928,4,26.649937
0.870713,2,27.891302
6.686949,3,28.970781
124.863153,28,32.035452
-6.247787,6,33.376491
0.886333,4,34.853609
141.219413,28,41.370064
-1.282103,4,42.577714
9.330401,5,43.794188
6.668082,4,44.899724
9.009784,4,46.190709
1.197404,5,47.570436
129.591309,28,50.489166
117.574972,28,53.809448
128.256912,28,56.887654
10.880996,6,58.236751
101.036812,28,61.738126
32.263502,7,64.682012
1.466422,4,65.964317
30.250387,6,67.477375
7.62047,5,68.908547
-1.66042,7,70.16289
20.088665,5,71.616959
148.754231,28,75.10276
6.721161,5,76.688603
2.244413,6,78.266293
0.3378,4,79.538702
9.337164,5,81.253878
8.715391,5,83.026178
132.361572,28,86.99645
-5.467272,6,88.295806
8.34798,5,89.742178
13.370441,5,91.52959
23.281859,5,92.80686
136.903096,28,96.05026
5.352353,5,98.017419
162.507876,28,101.586815
18.031964,7,103.06118
-3.645146,7,104.632284
12.001547,5,106.007957
5.22706,7,108.34548
26.825749,5,109.775379
0.841812,5,111.339452
3.510988,5,112.618126
27.879138,6,114.310878
8.993973,4,115.49367
38.716129,6,117.002151
7.721836,5,118.237734
135.645205,28,121.989653
119.754137,28,125.769643
14.522965,5,127.014189
24.248349,7,128.322485
16.231232,7,130.012045
23.548627,5,131.425693
22.881848,4,132.603128
7.877687,4,133.798228
0.941134,3,135.11595
1.179869,5,136.641695
0.636687,3,140.056767
13.36462,6,141.379845
13.190968,4,142.553225
36.508787,6,144.409588
14.769547,5,146.245332
0.985758,2,147.664909
18.878783,7,149.37645
9.625051,5,152.309645
20.840173,5,153.842632
21.763095,7,157.64003
3.633044,4,161.254387
3.573972,5,162.990777
15.284492,6,164.68374
114.358893,28,167.738124
119.259702,28,171.950141
-3.092447,3,173.389184
23.57062,3,174.647326
23.90233,7,176.770744
16.901932,3,177.909305
3.111423,7,180.412627
29.826305,6,182.257462
22.311941,7,183.739689
10.191772,4,184.883827
3.72341,3,185.974056
5.594794,5,187.312824
24.449134,7,190.026977
19.450298,3,191.933702
131.819487,28,195.296112
0.249948,3,197.004096
24.131294,4,198.463084
9.904661,7,200.499684
-5.343794,4,201.831239
1.800765,4,203.054614
9.206295,4,204.497266
5.186024,6,207.373295
4.222374,3,208.574826
7.092881,4,209.827695
7.357713,7,211.446718
-0.331919,1,213.375997
-7.783803,5,215.01179
10.462775,4,216.367164
12.307628,5,218.466437
2.041511,3,219.947418
8.319499,6,221.377381
-1.691351,6,222.701236
-2.528954,3,223.930805
92.658901,28,227.34729
15.477045,7,228.836398
14.242337,4,230.291914
112.453914,28,233.267493
5.29161,7,235.131826
128.002218,28,238.15065
5.194437,3,239.243899
10.982844,5,240.701841
14.506758,7,242.05214
3.968487,7,243.617021
9.677752,7,245.681051
12.866323,6,247.331604
6.207729,4,248.732211
115.484988,28,251.219768
7.678338,4,252.462971
0.46198,5,253.653894
3.511526,4,254.916617
189.398277,28,258.16706
20.049577,6,259.534535
19.754149,4,261.065093
8.149451,5,262.635437
173.139581,28,265.913086
4.855989,3,267.112327
25.44406,4,268.463367
-1.437502,6,269.70979
19.902097,4,270.947226
5.264775,4,272.131795
18.167529,4,273.269637
118.990916,28,276.323906
31.303467,7,277.842357
8.466221,4,279.070821
19.766244,4,280.522663
31.637906,5,282.696587
0.494221,4,283.834217
10.079865,4,285.001621
115.559656,28,287.929148
11.494816,4,289.060957
7.960417,3,291.302076
24.918031,7,293.246665
27.01742,4,294.866744
10.807048,4,296.363883
7.575551,5,297.732747
9.214903,4,298.961613
122.651467,28,303.991908
26.862875,6,305.30705
13.008981,5,306.513807
2.474931,4,307.825008
18.196664,7,309.409423
23.390681,7,311.063016
44.654844,5,312.688354
4.1032,3,313.999019
12.596724,4,315.69803
147.032593,28,320.3833
-2.834242,5,321.703471
-0.45759,2,322.951865
20.629605,5,324.374553
5.99344,4,325.938545
155.54614,28,329.01365
3.109299,4,330.129544
3.194021,1,331.320998
-4.326578,7,332.795962
12.453446,4,333.934439
10.242899,3,335.052445
13.103405,3,336.483763
16.808493,4,338.190974
-2.051462,5,339.365669
7.104346,6,341.105306
31.619621,6,343.172379
13.464238,6,344.671571
7.839114,6,346.201935
107.048939,28,375.236156
13.803495,5,376.996855
-6.160167,5,378.172771
105.168215,28,381.189066
10.403676,5,383.411544
14.381301,5,385.084872
-2.23969,5,386.566138
17.832708,7,388.113857
8.343503,6,389.373049
11.472127,7,391.553864
20.700258,4,392.862835
11.371426,7,394.521548
28.471838,6,395.754716
4.139046,4,397.009494
35.098638,7,398.54163
29.332491,7,400.686739
97.534812,28,404.227201
131.135752,28,406.737211
17.887627,4,407.892319
10.35098,6,409.497823
5.343252,6,411.025575
13.995395,5,412.26176
9.050824,5,413.489621
2.212421,7,415.03695
119.284275,28,418.434613
16.811573,6,420.688224
103.610293,28,424.242693
14.287734,5,425.57422
7.699987,5,426.91889
12.352991,6,428.82201
7.486465,7,430.287895
3.218402,4,431.712609
11.863775,3,432.890504
143.537217,28,436.318526
19.693853,5,437.513102
5.806328,3,438.684539
23.838895,5,440.247481
7.157128,5,441.682114
143.947635,28,444.563455
